edge:declared:db.AgendaBonusIssue:certificate_of_payment_for_the_share_file	db.AgendaBonusIssue	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaBonusIssue:financial_statement_approved_minutes_file	db.AgendaBonusIssue	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaBonusIssue:financial_statement_file	db.AgendaBonusIssue	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaBonusIssue:meeting_draft	db.AgendaBonusIssue	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaBonusIssueNewIssueBalanceCertificateFile:agenda_bonus_issue	db.AgendaBonusIssueNewIssueBalanceCertificateFile	db.AgendaBonusIssue	foreign_key	declared
edge:declared:db.AgendaBonusIssueNewIssueMinutesFile:agenda_bonus_issue	db.AgendaBonusIssueNewIssueMinutesFile	db.AgendaBonusIssue	foreign_key	declared
edge:declared:db.AgendaBonusIssueSharesToIssue:agenda_bonus_issue	db.AgendaBonusIssueSharesToIssue	db.AgendaBonusIssue	foreign_key	declared
edge:declared:db.AgendaBonusIssueSharesToIssue:share_class	db.AgendaBonusIssueSharesToIssue	db.ShareClass	foreign_key	declared
edge:declared:db.AgendaBorrowCapital:meeting_draft	db.AgendaBorrowCapital	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaBranchChange:address	db.AgendaBranchChange	db.Address	one_to_one	declared
edge:declared:db.AgendaBranchChange:installation_event	db.AgendaBranchChange	db.BranchInstallationEvent	foreign_key	declared
edge:declared:db.AgendaBranchChange:meeting_draft	db.AgendaBranchChange	db.MeetingDraft	foreign_key	declared
edge:declared:db.AgendaCashDividends:meeting_draft	db.AgendaCashDividends	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaCeoAddressChange:meeting_draft	db.AgendaCeoAddressChange	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaCeoAddressChangeItem:agenda_ceo_address_change	db.AgendaCeoAddressChangeItem	db.AgendaCeoAddressChange	foreign_key	declared
edge:declared:db.AgendaCeoAddressChangeItem:stakeholder	db.AgendaCeoAddressChangeItem	db.Stakeholder	foreign_key	declared
edge:declared:db.AgendaChangeOfAoiClassStock:aoi	db.AgendaChangeOfAoiClassStock	db.AgendaChangeOfArticlesOfIncorporation	one_to_one	declared
edge:declared:db.AgendaChangeOfAoiCustom:aoi	db.AgendaChangeOfAoiCustom	db.AgendaChangeOfArticlesOfIncorporation	one_to_one	declared
edge:declared:db.AgendaChangeOfAoiCustom:changed_part	db.AgendaChangeOfAoiCustom	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaChangeOfAoiCustom:whole_articles	db.AgendaChangeOfAoiCustom	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaChangeOfAoiDirectorCompensationRule:aoi	db.AgendaChangeOfAoiDirectorCompensationRule	db.AgendaChangeOfArticlesOfIncorporation	one_to_one	declared
edge:declared:db.AgendaChangeOfAoiNumberOfDirectors:aoi	db.AgendaChangeOfAoiNumberOfDirectors	db.AgendaChangeOfArticlesOfIncorporation	one_to_one	declared
edge:declared:db.AgendaChangeOfAoiThirdPartyAllocation:aoi	db.AgendaChangeOfAoiThirdPartyAllocation	db.AgendaChangeOfArticlesOfIncorporation	one_to_one	declared
edge:declared:db.AgendaChangeOfArticlesOfIncorporation:_deprecated_changed_part	db.AgendaChangeOfArticlesOfIncorporation	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaChangeOfArticlesOfIncorporation:_deprecated_whole_articles	db.AgendaChangeOfArticlesOfIncorporation	db.FileAttachment	foreign_key	declared
edge:declared:db.AgendaChangeOfArticlesOfIncorporation:meeting_draft	db.AgendaChangeOfArticlesOfIncorporation	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaCoCeoSystemChange:meeting_draft	db.AgendaCoCeoSystemChange	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaCompanyNameChange:meeting_draft	db.AgendaCompanyNameChange	db.MeetingDraft	one_to_one	declared
edge:declared:db.AgendaCustom:meeting_draft	db.AgendaCustom	db.MeetingDraft	foreign_key	declared
edge:declared:db.AgendaDirectorChange:stakeholder	db.AgendaDirectorChange	db.Stakeholder	foreign_key	declared
edge:declared:db.AgendaDirectorCompensationItem:director_compensation	db.AgendaDirectorCompensationItem	db.AgendaDirectorCompensation	foreign_key	declared
edge:declared:db.AgendaDirectorCompensationItem:stakeholder	db.AgendaDirectorCompensationItem	db.Stakeholder	foreign_key	declared
edge:declared:db.AgendaDirectorCompensationRule:meeting_draft	db.AgendaDirectorCompensationRule	db.MeetingDraft	one_to_one	declared
